Categorias de Servicios;Subcategorias de Servicios
Reparación de vehiculos;Talleres de motos
Reparación de vehiculos;Talleres de bicicletas
Reparación de vehiculos;Talleres mecanicos
Reparación de vehiculos;Talleres de electricidad del automotor
Reparación de vehiculos;Talleres de refrigeracion automotor
Reparación de vehiculos;Talleres de chapa y pintura
Reparación de vehiculos;Talleres GNC
Reparación de vehiculos;Talleres de AudioCar
Reparación de vehiculos;Talleres de Detailing
Reparación de vehiculos;Gomerias
Reparación de vehiculos;Lavaderos
Reparación de vehiculos;Lubricentros
Servicios para mascotas;Veterinarias
Servicios para mascotas;Peluquerias caninas
Servicios para mascotas;Translados de animales
Sercios de cuidado personal;Peluquerias
Sercios de cuidado personal;Barberias
Sercios de cuidado personal;Maquilladoras
Sercios de cuidado personal;Depilacion
Sercios de cuidado personal;Uñas
Sercios de cuidado personal;Masoterapeutas y masajistas
Sercios de cuidado personal;Cosmeatras
Sercios de cuidado personal;Tatuajes
Servicios para eventos;Fotografos
Servicios para eventos;Film makers
Servicios para eventos;Catering
Servicios para eventos;Animaciones
Servicios para eventos;Salones de fiesta
Servicios para eventos;Sonido para eventos
Servicios para eventos;Otros servicios para eventos
Servicios Tecnicos;Electricistas 
Servicios Tecnicos;Plomeros
Servicios Tecnicos;Gasistas
Servicios Tecnicos;Albañiles
Servicios Tecnicos;Instalacion de Aires Acondicionados
Servicios Tecnicos;Reparacion de celulares
Servicios Tecnicos;Reparacion de computadoras
Servicios Tecnicos;Reparacion de Televisores
Servicios Tecnicos;Reparacion de electrodomesticos
Servicios Tecnicos;Instalacion de muebles
Servicios Deportivos;Alquiler de canchas
Servicios Deportivos;Pileta de natacion
Servicios Deportivos;Entrenadores personales
Servicios Deportivos;Recuperación de lesiones
Profesionales;Contadores
Profesionales;Abogados
Profesionales;Arquitectos
Profesionales;Estadísticos
Profesionales;Medicos 
Profesionales;Dentistas
Profesionales;Psicologos
Profesionales;Enfermeras
Profesionales;Kinesiologos
Clases;Maestras particulares
Clases;Clases de idioma
Clases;Clases de baile
Otros servicios;Esotericos
Otros servicios;Fletes
Otros servicios;Turismo
Otros servicios;Niñeras
Otros servicios;Empleadas domesticas
