Tipo;Categoria;Subcategoria
"Producto";"Productos para la construcción";"Aberturas"
"Producto";"Productos para la construcción";"Aberturías"
"Servicio";"Profesionales";"Abogados"
"Producto";"Productos para la construcción";"Accesorios de construcción"
"Producto";"Productos tecnológicos";"Accesorios para celulares"
"Producto";"Productos tecnológicos";"Accesorios para computación"
"Producto";"Sector Agro";"Accesorios y insumos para el Agro"
"Producto";"Accesorios y repuestos de vehículos";"Accesorios y repuestos de  bicicletas"
"Producto";"Accesorios y repuestos de vehículos";"Accesorios y repuestos de autos"
"Producto";"Accesorios y repuestos de vehículos";"Accesorios y repuestos de motos"
"Servicio";"Servicios Técnicos";"Albañiles"
"Producto";"Mascotas";"Alimentos para mascotas"
"Servicio";"Servicios Deportivos";"Alquiler de canchas"
"Producto";"Inmuebles";"Alquiler temporario"
"Servicio";"Servicios para eventos";"Animaciones"
"Servicio";"Profesionales";"Arquitectos"
"Producto";"Electrodomésticos";"Artefactos de cuidado personal"
"Servicio";"Servicios Deportivos";"Artes marciales"
"Producto";"Artesanías";"Artesanías en piedra"
"Producto";"Cotillón";"Artículos para fiestas"
"Producto";"Productos deportivos";"Artículos para hacer deporte"
"Producto";"Vehículos";"Autos Nuevos"
"Producto";"Vehículos";"Autos Usados"
"Producto";"Productos para la construcción";"Baños"
"Servicio";"Servicios de cuidado personal";"Barberías"
"Producto";"Bazar";"Bazar"
"Producto";"Vehículos";"Bicicletas"
"Producto";"Ropa";"Blanquería"
"Producto";"Productos deportivos";"Calzado deportivo"
"Producto";"Ropa";"Calzado femenino"
"Producto";"Ropa";"Calzado masculino"
"Producto";"Productos tecnológicos";"Cámaras"
"Producto";"Inmuebles";"Campos y fincas"
"Producto";"Alimentos y Bebidas";"Carnicerías"
"Servicio";"Servicios para eventos";"Carpas y mobiliario para eventos"
"Servicio";"Servicios Técnicos";"Carpinteros"
"Producto";"Inmuebles";"Casas"
"Servicio";"Servicios para eventos";"Catering"
"Producto";"Productos tecnológicos";"Celulares"
"Producto";"Artesanías";"Cerámica y alfarería"
"Servicio";"Servicios Técnicos";"Cerrajeros"
"Servicio";"Clases";"Clases de arte y pintura"
"Servicio";"Clases";"Clases de baile"
"Servicio";"Clases";"Clases de computación"
"Servicio";"Clases";"Clases de idioma"
"Servicio";"Clases";"Clases de música"
"Servicio";"Clases";"Clases de yoga y pilates"
"Producto";"Electrodomésticos";"Climatización"
"Producto";"Inmuebles";"Cocheras"
"Producto";"Muebles";"Colchones y sommiers"
"Producto";"Productos tecnológicos";"Computadoras"
"Producto";"Productos tecnológicos";"Consolas de Juegos"
"Servicio";"Profesionales";"Contadores"
"Servicio";"Servicios de cuidado personal";"Cosmetólogas"
"Servicio";"Servicios de cuidado personal";"Cosmetología"
"Producto";"Mascotas";"Criaderos"
"Producto";"Artesanías";"Cuero y marroquinería"
"Servicio";"Servicios para eventos";"Decoración de eventos"
"Producto";"Muebles";"Decoración para el hogar"
"Servicio";"Profesionales";"Dentistas"
"Producto";"Inmuebles";"Departamentos"
"Servicio";"Servicios de cuidado personal";"Depilación"
"Servicio";"Diseño y marketing";"Desarrollo web"
"Servicio";"Diseño y marketing";"Diseño gráfico"
"Servicio";"Servicios para eventos";"DJ"
"Servicio";"Servicios Técnicos";"Electricistas"
"Producto";"Electrodomésticos";"Electrodomésticos de lavadero"
"Producto";"Electrodomésticos";"Electrodomésticos para cocina"
"Producto";"Gastronomía";"Empanadas"
"Servicio";"Otros servicios";"Empleadas domésticas"
"Servicio";"Profesionales";"Enfermeras"
"Servicio";"Profesionales";"Enfermerías"
"Servicio";"Servicios Deportivos";"Entrenadores personales"
"Producto";"Productos deportivos";"Equipos de camping y outdoor"
"Servicio";"Profesionales";"Escribanos"
"Servicio";"Otros servicios";"Esotéricos"
"Servicio";"Profesionales";"Estadísticos"
"Producto";"Cuidado personal";"Farmacias"
"Producto";"Alimentos y Bebidas";"Fiambrerías"
"Servicio";"Servicios para eventos";"Film makers"
"Servicio";"Otros servicios";"Fletes"
"Servicio";"Profesionales";"Fonoaudiólogos"
"Servicio";"Diseño y marketing";"Fotografía comercial"
"Servicio";"Servicios para eventos";"Fotógrafos"
"Servicio";"Limpieza";"Fumigación y desinfección"
"Producto";"Inmuebles";"Galpones y depósitos"
"Servicio";"Servicios Técnicos";"Gasistas"
"Servicio";"Diseño y marketing";"Gestión de redes sociales"
"Servicio";"Servicios Deportivos";"Gimnasios"
"Servicio";"Reparación de vehículos";"Gomerías"
"Producto";"Gastronomía";"Hamburguesas"
"Producto";"Gastronomía";"Helados"
"Producto";"Herramientas";"Herramientas eléctricas"
"Producto";"Herramientas";"Herramientas manuales"
"Servicio";"Servicios Técnicos";"Herreros"
"Servicio";"Profesionales";"Ingenieros"
"Servicio";"Servicios Técnicos";"Instalación de Aires Acondicionados"
"Servicio";"Servicios Técnicos";"Instalación de muebles"
"Producto";"Productos para empresas";"Instalaciones comerciales"
"Producto";"Instrumentos Musicales";"Instrumentos Musicales"
"Producto";"Productos para la construcción";"Insumos de electricidad"
"Producto";"Productos para empresas";"Insumos para empresas"
"Producto";"Cuidado personal";"Insumos para peluquerías"
"Producto";"Viveros";"Insumos para plantas"
"Producto";"Productos para la construcción";"Insumos para plomería"
"Producto";"Joyas";"Joyas"
"Producto";"Juguetes";"Juguetes"
"Servicio";"Profesionales";"Kinesiólogos"
"Producto";"Alimentos y Bebidas";"Kioscos y Despensas"
"Servicio";"Reparación de vehículos";"Lavaderos"
"Servicio";"Limpieza";"Lavado de alfombras y tapizados"
"Producto";"Ropa";"Lencería"
"Producto";"Arte y manualidades";"Librerías"
"Producto";"Libros";"Libros"
"Servicio";"Limpieza";"Limpieza de hogares"
"Servicio";"Limpieza";"Limpieza de oficinas y comercios"
"Servicio";"Limpieza";"Limpieza de vidrios y fachadas"
"Producto";"Inmuebles";"Locales"
"Servicio";"Reparación de vehículos";"Lubricentros"
"Servicio";"Clases";"Maestras particulares"
"Servicio";"Servicios de cuidado personal";"Maquilladoras"
"Producto";"Cuidado personal";"Maquillajes"
"Producto";"Productos para la construcción";"Maquinaria para construcción"
"Servicio";"Servicios de cuidado personal";"Masoterapeutas y masajistas"
"Producto";"Productos para la construcción";"Materiales de obra"
"Servicio";"Profesionales";"Médicos"
"Producto";"Arte y manualidades";"Mercerías"
"Producto";"Vehículos";"Motos Nuevas"
"Producto";"Vehículos";"Motos Usadas"
"Producto";"Muebles";"Muebles para cocina"
"Producto";"Muebles";"Muebles para dormitorios"
"Producto";"Muebles";"Muebles para jardín"
"Producto";"Muebles";"Muebles para living"
"Producto";"Muebles";"Muebles para oficina"
"Producto";"Alimentos y Bebidas";"Naturistas"
"Servicio";"Otros servicios";"Niñeras"
"Producto";"Productos tecnológicos";"Notebooks"
"Servicio";"Profesionales";"Nutricionistas"
"Producto";"Cuidado personal";"Ópticas"
"Producto";"Cuidado personal";"Ortopedias"
"Servicio";"Servicios para eventos";"Otros servicios para eventos"
"Producto";"Alimentos y Bebidas";"Panaderías"
"Producto";"Bebés";"Pañaleras"
"Servicio";"Servicios de cuidado personal";"Peluquerías"
"Servicio";"Servicios para mascotas";"Peluquerías caninas"
"Producto";"Cuidado personal";"Perfumes"
"Producto";"Productos deportivos";"Pesas y fitness"
"Servicio";"Servicios Deportivos";"Pileta de natación"
"Servicio";"Servicios Técnicos";"Pintores"
"Producto";"Productos para la construcción";"Pinturerías"
"Producto";"Gastronomía";"Pizzas"
"Producto";"Viveros";"Plantas"
"Producto";"Artesanías";"Platería artesanal"
"Servicio";"Servicios Técnicos";"Plomeros"
"Producto";"Alimentos y Bebidas";"Pollerías"
"Servicio";"Profesionales";"Psicólogos"
"Servicio";"Diseño y marketing";"Publicidad e impresión"
"Servicio";"Servicios Deportivos";"Recuperación de lesiones"
"Producto";"Joyas";"Relojes"
"Servicio";"Servicios Técnicos";"Reparación de celulares"
"Servicio";"Servicios Técnicos";"Reparación de computadoras"
"Servicio";"Servicios Técnicos";"Reparación de electrodomésticos"
"Servicio";"Servicios Técnicos";"Reparación de televisores"
"Producto";"Productos deportivos";"Ropa deportiva"
"Producto";"Ropa";"Ropa femenina"
"Producto";"Ropa";"Ropa masculina"
"Producto";"Ropa";"Ropa niños"
"Producto";"Bebés";"Ropa para bebé"
"Producto";"Mascotas";"Ropa para mascotas"
"Producto";"Gastronomía";"Rotiserías"
"Servicio";"Servicios para eventos";"Salones de fiesta"
"Servicio";"Servicios para eventos";"Sonido para eventos"
"Producto";"Gastronomía";"Sushi"
"Producto";"Artesanías";"Tallas en madera"
"Servicio";"Reparación de vehículos";"Talleres de AudioCar"
"Servicio";"Reparación de vehículos";"Talleres de bicicletas"
"Servicio";"Reparación de vehículos";"Talleres de chapa y pintura"
"Servicio";"Reparación de vehículos";"Talleres de Detailing"
"Servicio";"Reparación de vehículos";"Talleres de electricidad del automotor"
"Servicio";"Reparación de vehículos";"Talleres de motos"
"Servicio";"Reparación de vehículos";"Talleres de refrigeración automotor"
"Servicio";"Reparación de vehículos";"Talleres GNC"
"Servicio";"Reparación de vehículos";"Talleres mecánicos"
"Servicio";"Servicios de cuidado personal";"Tatuajes"
"Servicio";"Servicios Técnicos";"Techistas e impermeabilización"
"Producto";"Artesanías";"Tejidos y telares"
"Producto";"Productos tecnológicos";"Televisores"
"Producto";"Inmuebles";"Terrenos"
"Servicio";"Servicios para eventos";"Tortas y repostería"
"Servicio";"Servicios para mascotas";"Traslados de animales"
"Servicio";"Otros servicios";"Turismo"
"Servicio";"Clases";"Tutorías escolares"
"Servicio";"Servicios de cuidado personal";"Uñas"
"Producto";"Productos para empresas";"Uniformes"
"Producto";"Alimentos y Bebidas";"Verdulerías"
"Servicio";"Servicios para mascotas";"Veterinarias"
"Producto";"Alimentos y Bebidas";"Vinotecas y licoreras"
"Servicio";"Servicios Deportivos";"Yoga y pilates"
